,open,high,low,close,adjclose,volume,ticker
2000-04-19,411.5,420.0,390.0,400.29998779296875,198.00843811035156,4130000.0,GGBR4.SA
2000-04-20,405.5,425.0,405.5,425.0,210.22650146484375,410000.0,GGBR4.SA
2000-04-21,425.0,425.0,425.0,425.0,210.22650146484375,0.0,GGBR4.SA
2000-04-24,420.0,420.0,410.0,420.0,207.753173828125,3750000.0,GGBR4.SA
2000-04-25,451.3999938964844,451.3999938964844,420.0,433.0,214.18359375,2520000.0,GGBR4.SA
2000-04-26,436.0,437.0,430.0,432.8999938964844,214.1341552734375,5060000.0,GGBR4.SA
2000-04-27,432.8999938964844,440.0,431.0,440.0,217.6461639404297,6110000.0,GGBR4.SA
2000-04-28,440.1000061035156,443.0,431.0,436.0,215.6675567626953,2480000.0,GGBR4.SA
2000-05-01,436.0,436.0,436.0,436.0,215.6675567626953,0.0,GGBR4.SA
2000-05-02,2.34920597076416,2.4338619709014893,2.306878089904785,2.4338619709014893,1.2039105892181396,366093000.0,GGBR4.SA
2000-05-03,2.4338619709014893,2.4338619709014893,2.34920597076416,2.34920597076416,1.1620358228683472,260442000.0,GGBR4.SA
2000-05-04,2.3703699111938477,2.3915340900421143,2.3703699111938477,2.3703699111938477,1.1725038290023804,502456500.0,GGBR4.SA
2000-05-05,2.3703699111938477,2.4338619709014893,2.3703699111938477,2.4126980304718018,1.1934423446655273,563881500.0,GGBR4.SA
2000-05-08,2.4126980304718018,2.4126980304718018,2.3703699111938477,2.3703699111938477,1.1725038290023804,208845000.0,GGBR4.SA
2000-05-09,2.3703699111938477,2.3915340900421143,2.2010579109191895,2.2857139110565186,1.1306291818618774,255528000.0,GGBR4.SA
2000-05-10,2.264549970626831,2.264549970626831,2.179893970489502,2.2010579109191895,1.0887540578842163,426289500.0,GGBR4.SA
2000-05-11,2.179893970489502,2.222222089767456,2.179893970489502,2.222222089767456,1.099223256111145,1147419000.0,GGBR4.SA
2000-05-12,2.3280420303344727,2.3280420303344727,2.137566089630127,2.1587300300598145,1.0678163766860962,441031500.0,GGBR4.SA
2000-05-15,2.179893970489502,2.179893970489502,2.1587300300598145,2.1587300300598145,1.0678163766860962,3998767500.0,GGBR4.SA
2000-05-16,2.179893970489502,2.222222089767456,2.1587300300598145,2.179893970489502,1.0782852172851562,2418916500.0,GGBR4.SA
2000-05-17,2.179893970489502,2.179893970489502,2.1164019107818604,2.137566089630127,1.057347297668457,179361000.0,GGBR4.SA
2000-05-18,2.1164019107818604,2.1164019107818604,1.9894169569015503,2.0105819702148438,0.9945351481437683,1585993500.0,GGBR4.SA
2000-05-19,1.9894169569015503,1.9894169569015503,1.9259250164031982,1.9470889568328857,0.9631282687187195,382063500.0,GGBR4.SA
2000-05-22,1.9682530164718628,1.9682530164718628,1.8624329566955566,1.9047609567642212,0.9421901702880859,1280097000.0,GGBR4.SA
2000-05-23,1.9047609567642212,1.9259250164031982,1.7989410161972046,1.820104956626892,0.9003153443336487,1082308500.0,GGBR4.SA
2000-05-24,1.8624329566955566,1.8624329566955566,1.75661301612854,1.7989410161972046,0.8898470401763916,1785010500.0,GGBR4.SA
2000-05-25,1.7989410161972046,1.8835970163345337,1.7989410161972046,1.8412690162658691,0.910784125328064,3519652500.0,GGBR4.SA
2000-05-26,1.8624329566955566,1.9470889568328857,1.8624329566955566,1.9470889568328857,0.9631282687187195,662161500.0,GGBR4.SA
2000-05-29,2.0105819702148438,2.0105819702148438,1.9682530164718628,1.9894169569015503,0.9840656518936157,1095822000.0,GGBR4.SA
2000-05-30,2.0105819702148438,2.1164019107818604,1.9894169569015503,2.1164019107818604,1.0468788146972656,3190414500.0,GGBR4.SA
2000-05-31,2.095237970352173,2.222222089767456,2.095237970352173,2.222222089767456,1.099223256111145,2855034000.0,GGBR4.SA
2000-06-01,2.179893970489502,2.3280420303344727,2.179893970489502,2.306878089904785,1.141098141670227,1954543500.0,GGBR4.SA
2000-06-02,2.3703699111938477,2.3915340900421143,2.222222089767456,2.2857139110565186,1.1306291818618774,2298523500.0,GGBR4.SA
2000-06-05,2.3280420303344727,2.3280420303344727,2.2857139110565186,2.306878089904785,1.141098141670227,1385748000.0,GGBR4.SA
2000-06-06,2.306878089904785,2.306878089904785,2.306878089904785,2.306878089904785,1.141098141670227,0.0,GGBR4.SA
2000-06-07,2.3280420303344727,2.34920597076416,2.306878089904785,2.34920597076416,1.1620358228683472,1083537000.0,GGBR4.SA
2000-06-08,2.3703699111938477,2.3915340900421143,2.2857139110565186,2.34920597076416,1.1620358228683472,1614249000.0,GGBR4.SA
2000-06-09,2.3280420303344727,2.34920597076416,2.2857139110565186,2.3280420303344727,1.1515663862228394,1265355000.0,GGBR4.SA
2000-06-12,2.2857139110565186,2.306878089904785,2.2433860301971436,2.264549970626831,1.120160460472107,426289500.0,GGBR4.SA
2000-06-13,2.264549970626831,2.264549970626831,2.222222089767456,2.2433860301971436,1.1096913814544678,563881500.0,GGBR4.SA
2000-06-14,2.2433860301971436,2.264549970626831,2.179893970489502,2.222222089767456,1.099223256111145,729729000.0,GGBR4.SA
2000-06-15,2.2010579109191895,2.222222089767456,2.095237970352173,2.095237970352173,1.0364099740982056,1566337500.0,GGBR4.SA
2000-06-16,2.1164019107818604,2.1164019107818604,1.9894169569015503,2.0740740299224854,1.025941252708435,1213758000.0,GGBR4.SA
2000-06-19,2.0740740299224854,2.0740740299224854,1.9894169569015503,2.0317459106445312,1.0050040483474731,2750611500.0,GGBR4.SA
2000-06-20,2.0740740299224854,2.1164019107818604,2.052910089492798,2.0740740299224854,1.025941252708435,2073708000.0,GGBR4.SA
2000-06-21,2.1164019107818604,2.2433860301971436,2.095237970352173,2.2433860301971436,1.1096913814544678,4486482000.0,GGBR4.SA
2000-06-22,2.2433860301971436,2.2433860301971436,2.2433860301971436,2.2433860301971436,1.1096913814544678,0.0,GGBR4.SA
2000-06-23,2.264549970626831,2.2857139110565186,2.2010579109191895,2.222222089767456,1.099223256111145,1654789500.0,GGBR4.SA
2000-06-26,2.2433860301971436,2.2433860301971436,2.179893970489502,2.179893970489502,1.0782852172851562,1158475500.0,GGBR4.SA
2000-06-27,2.179893970489502,2.264549970626831,2.179893970489502,2.2433860301971436,1.109708309173584,1309581000.0,GGBR4.SA
2000-06-28,2.2857139110565186,2.3915340900421143,2.2857139110565186,2.3703699111938477,1.1725218296051025,2031939000.0,GGBR4.SA
2000-06-29,2.2857139110565186,2.3703699111938477,2.2857139110565186,2.34920597076416,1.1620529890060425,2663388000.0,GGBR4.SA
2000-06-30,2.34920597076416,2.3703699111938477,2.3280420303344727,2.3280420303344727,1.1515843868255615,1538082000.0,GGBR4.SA
2000-07-03,2.3280420303344727,2.34920597076416,2.306878089904785,2.3280420303344727,1.1515843868255615,1081080000.0,GGBR4.SA
2000-07-04,2.3280420303344727,2.4338619709014893,2.3280420303344727,2.4338619709014893,1.203928828239441,2760439500.0,GGBR4.SA
2000-07-05,2.4338619709014893,2.58201003074646,2.4338619709014893,2.4761900901794434,1.2248667478561401,4563877500.0,GGBR4.SA
2000-07-06,2.497354030609131,2.5608460903167725,2.497354030609131,2.539681911468506,1.256273627281189,3099505500.0,GGBR4.SA
2000-07-07,2.5608460903167725,2.58201003074646,2.5608460903167725,2.58201003074646,1.2772115468978882,1895575500.0,GGBR4.SA
2000-07-10,2.6031739711761475,2.624337911605835,2.58201003074646,2.6031739711761475,1.287679672241211,4058964000.0,GGBR4.SA
2000-07-11,2.58201003074646,2.58201003074646,2.4338619709014893,2.497354030609131,1.2353355884552002,1738327500.0,GGBR4.SA
2000-07-12,2.497354030609131,2.539681911468506,2.4550259113311768,2.4550259113311768,1.2143971920013428,2229727500.0,GGBR4.SA
2000-07-13,2.4550259113311768,2.497354030609131,2.4338619709014893,2.4550259113311768,1.2143971920013428,1386976500.0,GGBR4.SA
2000-07-14,2.4338619709014893,2.4761900901794434,2.4338619709014893,2.4550259113311768,1.2143971920013428,1350121500.0,GGBR4.SA
2000-07-17,2.497354030609131,2.5185179710388184,2.4761900901794434,2.4761900901794434,1.2248667478561401,2233413000.0,GGBR4.SA
2000-07-18,2.5185179710388184,2.539681911468506,2.497354030609131,2.5185179710388184,1.2458044290542603,2285010000.0,GGBR4.SA
2000-07-19,2.5185179710388184,2.5185179710388184,2.4550259113311768,2.497354030609131,1.2353355884552002,318181500.0,GGBR4.SA
2000-07-20,2.539681911468506,2.539681911468506,2.4338619709014893,2.4338619709014893,1.203928828239441,929974500.0,GGBR4.SA
2000-07-21,2.4338619709014893,2.4761900901794434,2.3280420303344727,2.4761900901794434,1.2248667478561401,2412774000.0,GGBR4.SA
2000-07-24,2.497354030609131,2.5185179710388184,2.4338619709014893,2.4761900901794434,1.2248667478561401,929974500.0,GGBR4.SA
2000-07-25,2.497354030609131,2.5185179710388184,2.4338619709014893,2.4338619709014893,1.203928828239441,1011055500.0,GGBR4.SA
2000-07-26,2.4338619709014893,2.4550259113311768,2.3915340900421143,2.4550259113311768,1.2143971920013428,898033500.0,GGBR4.SA
2000-07-27,2.4761900901794434,2.4761900901794434,2.4338619709014893,2.4338619709014893,1.203928828239441,664618500.0,GGBR4.SA
2000-07-28,2.4338619709014893,2.4550259113311768,2.4126980304718018,2.4126980304718018,1.1934599876403809,1238328000.0,GGBR4.SA
2000-07-31,2.4338619709014893,2.497354030609131,2.4126980304718018,2.4761900901794434,1.2248667478561401,1087222500.0,GGBR4.SA
2000-08-01,2.497354030609131,2.497354030609131,2.4338619709014893,2.4338619709014893,1.203928828239441,1105650000.0,GGBR4.SA
2000-08-02,2.4761900901794434,2.4761900901794434,2.4126980304718018,2.4550259113311768,1.2143971920013428,1404175500.0,GGBR4.SA
2000-08-03,2.3915340900421143,2.4761900901794434,2.3915340900421143,2.4761900901794434,1.2248667478561401,2071251000.0,GGBR4.SA
2000-08-04,2.4761900901794434,2.497354030609131,2.4761900901794434,2.497354030609131,1.2353355884552002,2615476500.0,GGBR4.SA
2000-08-07,2.497354030609131,2.539681911468506,2.497354030609131,2.5185179710388184,1.2458044290542603,1217443500.0,GGBR4.SA
2000-08-08,2.497354030609131,2.5608460903167725,2.497354030609131,2.5185179710388184,1.2458044290542603,2031939000.0,GGBR4.SA
2000-08-09,2.5185179710388184,2.6031739711761475,2.5185179710388184,2.5185179710388184,1.2458044290542603,2039310000.0,GGBR4.SA
2000-08-10,2.539681911468506,2.666666030883789,2.539681911468506,2.58201003074646,1.2772115468978882,2610562500.0,GGBR4.SA
2000-08-11,2.6455020904541016,2.6878299713134766,2.5608460903167725,2.666666030883789,1.3190878629684448,3356262000.0,GGBR4.SA
2000-08-14,2.666666030883789,2.8571419715881348,2.666666030883789,2.8148140907287598,1.3923695087432861,3187957500.0,GGBR4.SA
2000-08-15,2.8148140907287598,2.8571419715881348,2.7724859714508057,2.8571419715881348,1.4133074283599854,3160930500.0,GGBR4.SA
2000-08-16,2.8148140907287598,2.8359780311584473,2.7724859714508057,2.8148140907287598,1.3923695087432861,2620390500.0,GGBR4.SA
2000-08-17,2.8148140907287598,2.8148140907287598,2.6878299713134766,2.751322031021118,1.3609631061553955,1738327500.0,GGBR4.SA
2000-08-18,2.7301580905914307,2.751322031021118,2.6031739711761475,2.6455020904541016,1.3086183071136475,1529482500.0,GGBR4.SA
2000-08-21,2.6455020904541016,2.6455020904541016,2.58201003074646,2.6031739711761475,1.287679672241211,1179360000.0,GGBR4.SA
2000-08-22,2.6455020904541016,2.6455020904541016,2.6031739711761475,2.624337911605835,1.298149585723877,574938000.0,GGBR4.SA
2000-08-23,2.6455020904541016,2.6455020904541016,2.58201003074646,2.58201003074646,1.2772115468978882,1407861000.0,GGBR4.SA
2000-08-24,2.58201003074646,2.6031739711761475,2.497354030609131,2.539681911468506,1.256273627281189,1503684000.0,GGBR4.SA
2000-08-25,2.5608460903167725,2.6031739711761475,2.539681911468506,2.539681911468506,1.256273627281189,1328008500.0,GGBR4.SA
2000-08-28,2.5608460903167725,2.58201003074646,2.5608460903167725,2.58201003074646,1.2772115468978882,1884519000.0,GGBR4.SA
2000-08-29,2.6031739711761475,2.6878299713134766,2.58201003074646,2.624337911605835,1.298149585723877,800982000.0,GGBR4.SA
2000-08-30,2.6455020904541016,2.708993911743164,2.6455020904541016,2.6878299713134766,1.329555869102478,2298523500.0,GGBR4.SA
2000-08-31,2.6455020904541016,2.7724859714508057,2.6455020904541016,2.7724859714508057,1.371431827545166,5300977500.0,GGBR4.SA
2000-09-01,2.751322031021118,2.793649911880493,2.751322031021118,2.793649911880493,1.3819007873535156,2374690500.0,GGBR4.SA
2000-09-04,2.793649911880493,2.8359780311584473,2.7724859714508057,2.7724859714508057,1.371431827545166,581080500.0,GGBR4.SA
2000-09-05,2.7724859714508057,2.8148140907287598,2.708993911743164,2.7301580905914307,1.3504936695098877,826780500.0,GGBR4.SA
2000-09-06,2.751322031021118,2.7724859714508057,2.7301580905914307,2.751322031021118,1.3609631061553955,437346000.0,GGBR4.SA
2000-09-07,2.751322031021118,2.751322031021118,2.751322031021118,2.751322031021118,1.3609631061553955,0.0,GGBR4.SA
2000-09-08,2.7301580905914307,2.7301580905914307,2.6455020904541016,2.708993911743164,1.3400256633758545,453316500.0,GGBR4.SA
2000-09-11,2.6455020904541016,2.708993911743164,2.6455020904541016,2.6455020904541016,1.3086183071136475,1343979000.0,GGBR4.SA
2000-09-12,2.6455020904541016,2.708993911743164,2.6455020904541016,2.666666030883789,1.3190878629684448,789925500.0,GGBR4.SA
2000-09-13,2.6878299713134766,2.708993911743164,2.666666030883789,2.708993911743164,1.3400256633758545,1804666500.0,GGBR4.SA
2000-09-14,2.708993911743164,2.7301580905914307,2.666666030883789,2.666666030883789,1.3190878629684448,846436500.0,GGBR4.SA
2000-09-15,2.666666030883789,2.6878299713134766,2.624337911605835,2.624337911605835,1.298149585723877,557739000.0,GGBR4.SA
2000-09-18,2.6031739711761475,2.6031739711761475,2.4761900901794434,2.497354030609131,1.2353355884552002,807124500.0,GGBR4.SA
2000-09-19,2.497354030609131,2.58201003074646,2.497354030609131,2.58201003074646,1.2772115468978882,1635133500.0,GGBR4.SA
2000-09-20,2.539681911468506,2.539681911468506,2.4761900901794434,2.497354030609131,1.2353355884552002,490171500.0,GGBR4.SA
2000-09-21,2.5185179710388184,2.5185179710388184,2.4338619709014893,2.4338619709014893,1.203928828239441,939802500.0,GGBR4.SA
2000-09-22,2.4338619709014893,2.5608460903167725,2.3915340900421143,2.5608460903167725,1.2667427062988281,2089678500.0,GGBR4.SA
2000-09-25,2.58201003074646,2.666666030883789,2.5608460903167725,2.624337911605835,1.298149585723877,2229727500.0,GGBR4.SA
2000-09-26,2.5608460903167725,2.6455020904541016,2.5608460903167725,2.624337911605835,1.298149585723877,536854500.0,GGBR4.SA
2000-09-27,2.6031739711761475,2.6031739711761475,2.4126980304718018,2.5185179710388184,1.2458044290542603,427518000.0,GGBR4.SA
2000-09-28,2.497354030609131,2.539681911468506,2.4550259113311768,2.539681911468506,1.256273627281189,960687000.0,GGBR4.SA
2000-09-29,2.539681911468506,2.539681911468506,2.4338619709014893,2.497354030609131,1.2353355884552002,776412000.0,GGBR4.SA
2000-10-02,2.58201003074646,2.58201003074646,2.3280420303344727,2.3703699111938477,1.1725218296051025,1280097000.0,GGBR4.SA
